EPG Filter Report
-------------------

Playlist Summary:
  Total unique tvg-id entries   : 148
  #EXTINF lines with tvg-id     : 150
  #EXTINF lines without tvg-id  : 43

EPG Matching:
  Channels found in EPG         : 84
  Channels NOT found            : 64

--------------------------------------------------------------------------------
Channel Name               ID                           Source(s)                                                                        
Reuters                    ReutersTV.us                 https://iptv-epg.org/files/epg-us.xml.gz                                         
ROCK Action                ROCKAction.sg                https://iptv-epg.org/files/epg-sg.xml.gz                                         
ROCK Entertainment         ROCKEntertainment.sg         https://iptv-epg.org/files/epg-sg.xml.gz                                         
RTM Apetito                479619                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
RTM Aura                   479618                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
RTM Fitrah                 479449                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
RTM Junior                 502308                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
RTM Roll                   521957                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
RTM Sukan                  370133                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
RTM TV1                    3683                         https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
RTM TV2                    370135                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
SBS_Golf                   SBSGolf.kr                   https://iptv-epg.org/files/epg-kr.xml.gz                                         
Sky News                   12069                        https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Sky Sport F1               SkySportsF1.uk               https://iptv-epg.org/files/epg-gb.xml.gz                                         
Sky Sport Football         SkySportsFootball.uk         https://iptv-epg.org/files/epg-gb.xml.gz                                         
Sky Sport Golf             SkySportsGolf.uk             https://iptv-epg.org/files/epg-gb.xml.gz                                         
Sky Sport Premier League   SkySportsPremierLeague.uk    https://iptv-epg.org/files/epg-gb.xml.gz                                         
Sony Movie Channel         Sony.Movie.Channel.HD.us2    https://epgshare01.online/epgshare01/epg_ripper_ALL_SOURCES1.xml.gz              
Speed Vision               SPEEDVISION.us               https://iptv-epg.org/files/epg-us.xml.gz                                         
TechStorm                  TechStorm.sg                 https://iptv-epg.org/files/epg-sg.xml.gz                                         
Tennis Channel             TennisChannel.us             https://iptv-epg.org/files/epg-us.xml.gz                                         
Travel & Taste             TravelandTaste               https://raw.githubusercontent.com/AqFad2811/epg/main/epg.xml                     
TV3                        1072                         https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
TV6                        370131                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
TV9                        902                          https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
TVBS Asia                  412193                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
tvN Movies                 524137                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
TVS                        3942                         https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
UFC 1                      446965                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Wild Earth                 405628                       https://raw.githubusercontent.com/mohdzufar/IPTV/refs/heads/main/EPG/epg.xml.gz  
Yahoo! Finance             YahooFinance.us              https://iptv-epg.org/files/epg-us.xml.gz                                         
